Country,Year,LE_both,LE_male,LE_female,Income Level,GDP per Capita,Surface area (sq. km),"Population, total",Population density (people per sq. km of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Mortality caused by road traffic injury (per 100,000 people)","Intentional homicides (per 100,000 people)",Individuals using the Internet (% of population),"Incidence of tuberculosis (per 100,000 people)","GNI per capita, Atlas method (current US$)",GDP per capita growth (annual %),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),CHE_in_USD
Iceland,2016,82.4,80.9,83.9,H,60529.926756910994,103000.0,335439.0,3.3460249376558595,7.29839003951589,3.6,0.300447727203078,98.2400162999185,2.1,54970.0,5.99982697501132,7.48145023856483,6.05965740746397,100.0,4375.4
India,2016,68.8,67.4,70.3,LM,1717.47387802956,3287259.0,1324171354.0,445.370579747678,75.80079115666192,21.2,3.22369940894267,29.547162885875398,211.0,1680.0,5.88983640263139,7.11268609726157,1.7300004315616102,84.5268173217773,63.3
Indonesia,2016,69.3,67.3,71.4,LM,3570.2846147653795,1910931.0,261115456.0,144.137657391103,16.7459821768331,15.5,0.495067928676664,25.45,391.0,3410.0,3.84530203631144,5.0332795915301,1.81936331905513,97.62,111.8
Iran (Islamic Republic of),2016,75.7,74.6,76.9,UM,5219.10980489885,1745150.0,80277428.0,49.2874505758982,48.9547664337527,28.0,2.46903843655181,53.2267726333568,14.0,5470.0,12.1009990912715,13.396228065959498,8.28302078741615,100.0,366.0
Iraq,2016,69.8,67.5,72.2,UM,4609.60069352322,435050.0,37202572.0,85.6570547062074,73.25872704553291,17.8,9.85445713495604,21.23,43.0,5420.0,7.75698623740327,11.0000000000001,4.81183968613452,100.0,154.5
Ireland,2016,81.5,79.7,83.4,H,64100.4299522762,70280.0,4755335.0,69.027943097692,9.16863321829827,4.0,0.8020795982104671,85.01113211510192,7.1,53910.0,3.96126131252801,5.14146015448682,7.31393980771791,100.0,4757.1
Israel,2016,82.3,80.3,84.2,H,37180.849811536296,22070.0,8546000.0,394.916820702403,18.6846113049764,3.2,1.3639947786279898,79.65312418152809,3.5,36250.0,2.07359486192067,4.09433559145762,7.86318134790706,100.0,2756.1
Italy,2016,82.8,80.5,84.9,H,30668.9814289997,301340.0,60627498.0,206.11782824505298,15.4836045209836,5.6,0.6730631628183,61.324252766630295,6.1,31700.0,1.029750378768,0.8582626300083259,5.27086678640296,100.0,2700.4
Jamaica,2016,76.0,73.6,78.5,UM,4878.575791372628,10990.0,2881355.0,266.053093259464,15.0716359295396,10.0,47.01105843141249,44.3668563671334,4.5,4630.0,1.04207219405505,1.3735273605527,2.59321537046218,98.2042694091797,294.3
Japan,2016,84.2,81.1,87.1,H,38972.3406391468,377962.0,126994511.0,348.35009600614404,13.158396009281399,4.7,0.283523310660032,93.18272128216171,16.0,38000.0,1.05462675404206,0.9381938864496252,9.53870610327163,100.0,3732.6
Jordan,2016,74.3,72.7,76.0,LM,4087.9375167203,89320.0,9455802.0,106.50824510024799,37.2142601688918,23.6,1.54762769807009,62.3021925670712,5.6,3920.0,-1.19473720414769,2.00373364209914,3.0025147270397903,100.0,257.4
Kazakhstan,2016,71.1,66.8,75.3,UM,7714.84184376024,2724902.0,17794055.0,6.59112308775049,19.6559044221487,23.2,4.8057291051631,74.5877264735738,67.0,8800.0,-0.32751463348722604,1.09999999991015,14.3631697418223,100.0,379.1
Kenya,2016,66.7,64.4,68.9,LM,1462.50511473103,580370.0,48461567.0,85.1487630459992,16.2949307897723,30.5,4.87343584003748,16.6,348.0,1380.0,3.1923836375642503,5.869192849110321,0.310415313666165,56.0,70.1
Kiribati,2016,66.1,63.6,68.6,LM,1587.05814505111,810.0,114395.0,141.228395061728,4.08635963009261,2.4,7.5037753369664095,13.7,566.0,2800.0,-0.6174065863271779,1.14024725824106,0.564368357203643,84.9362716674805,108.4
Kuwait,2016,74.8,73.9,76.0,H,27368.2866787596,17820.0,4052584.0,227.41773288439998,110.95721656188101,17.7,1.79646573344689,78.36738376,24.0,34890.0,0.562920187504062,3.54700508846648,25.2238644264961,100.0,1168.8
Kyrgyzstan,2016,71.4,67.7,75.2,LM,1120.66651300848,199949.0,6079500.0,31.697080291970806,17.9103037216191,20.1,4.4853846010665315,34.5,145.0,1110.0,2.2318052501758103,4.3358559012983005,1.64639533887413,99.99610137939449,92.1
Lao People's Democratic Republic,2016,65.8,64.2,67.4,LM,2338.69215683656,236800.0,6758353.0,29.282292027729607,27.672589254289196,15.0,7.00998205574848,21.87,175.0,2150.0,5.52842571067214,7.023091874104152,0.297200883705774,87.0957717895508,53.0
Latvia,2016,75.0,70.0,79.6,H,14070.4226525952,64490.0,1959537.0,31.5139433901576,14.588007128182197,9.9,3.36233472493844,79.8420977843089,37.0,14570.0,3.14717190876131,2.20881929833494,3.49819288166911,100.0,783.8
Lebanon,2016,76.3,75.1,77.7,UM,8257.29439052664,10450.0,6006668.0,587.1620723362661,32.564829603468496,19.3,3.99310182314494,76.11,12.0,7970.0,-0.635284320835979,1.99999999985178,4.29573255231446,100.0,645.2
Lesotho,2016,52.9,51.0,54.6,LM,1039.70330251141,30360.0,2203821.0,72.58962450592891,26.918224691450305,26.1,41.2481117607702,27.36,724.0,1270.0,1.04153650488325,2.39715448807888,1.15011103162712,29.7333087921143,90.9
Liberia,2016,62.9,62.0,63.9,L,455.370741357005,111370.0,4613823.0,47.90098629568111,17.3323353425192,35.1,3.2284578756795,7.31910641139578,308.0,370.0,-4.03561072889013,-1.60000000000001,0.21296766351526,19.8,69.3
Libya,2016,71.9,69.0,75.0,UM,5125.67528336766,1759540.0,6293253.0,3.57664673721541,63.716760485845796,25.3,2.50387688236723,20.27215956269,40.0,5110.0,-3.6959299668346697,-2.7954688288162703,9.18684539340708,98.5367279052735,312.6
Lithuania,2016,75.0,69.7,80.2,H,14912.6865427932,65286.0,2868231.0,45.781819632881096,16.717857788765,13.0,5.2468664376198,74.37664556186621,53.0,14790.0,3.65366928558295,2.3448807393884303,4.37809012309851,100.0,923.3
Luxembourg,2016,82.4,80.1,84.6,H,100738.684223143,2590.0,582014.0,224.71583011583,16.0972760703294,7.7,0.719015811157687,98.13669866576159,5.8,71590.0,0.8846625053683821,3.08264331605726,17.3621213728095,100.0,6236.0
Madagascar,2016,66.1,64.6,67.6,L,401.742265413689,587295.0,24894551.0,42.7888466827088,21.4749647374828,31.4,7.6867646272061085,4.713662899498,237.0,400.0,1.41605089444268,4.17999023566718,0.130421320637677,22.9,21.0
Malawi,2016,64.2,61.4,66.8,L,300.307665115766,118480.0,18091575.0,191.891970725499,28.2598232051121,34.2,1.7332093788370202,11.47,159.0,320.0,-0.450112621995842,2.4840406264186803,0.0747629100469522,11.0,34.2
Malaysia,2016,75.3,73.2,77.6,UM,9508.237749643,330800.0,31187265.0,94.9239537361132,17.607714524604198,22.3,2.1106332694241203,78.7883099275229,92.0,9860.0,2.66891457684333,4.219851319643951,8.032991578640441,100.0,385.6
